,List of Tweets
164,@Lo_Gannicus @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/uH5YkWkXsi
165,@ginaC777 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399 @pigeonberry1836… https://t.co/rlWzlKv0P9
166,RT @JohnnyParker012: 140mph Category 4 Hurricane #Lorenzo over the far Eastern Atlantic. https://t.co/Uf3sOkciOe
167,"Cyclone, hurricane, typhoon: What's the difference? https://t.co/Wmc4RRipHw via @NatGeo"
168,#Lorenzo sets a hurricane season record for the Atlantic basin. https://t.co/CUruhGM0iB
169,RT @OrgPhysics: A view of Hurricane Dorian 🌪 from the coasts of Florida. https://t.co/1CgHofJ2LG
170,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/bf2wD6bIQJ
171,RT @Mikdatca: Ses kaytı filan Palavra. Tutarsa kahraman tutmazsa kimse hesap sormaz.
172,The city and district will continue to receive heavy rainfall overnight for the next 24 hours.  Hurricane condition… https://t.co/CRpgxWe9Wt
173,"RT @WeatherNation: **BREAKING** Hurricane #Lorenzo has quickly strengthened into a major hurricane, with winds now up to 125 mph. It's expe…"
174,RT @TropicsWeather: #HurricaneLorenzo looks more majestic than every other hurricane ever in the Eastern Atlantic Ocean. It is very uncommo…
175,RT @weatherchannel: #Lorenzo is now the third major hurricane of the season. Catch our live coverage for the latest. https://t.co/y0J34jVFs1
176,RT @JimmyPatronis: Proud to stand with @GovRonDesantis in Mexico Beach today to announce additional funding for 1st responders in areas imp…
177,"RT @philklotzbach: Given the current and predicted future intensity of #Hurricane #Lorenzo, the 2019 Atlantic hurricane season will likely…"
178,@HappyHoHunter @_itchoosesyou_ @Ghostofvilla @missjulialee @TorCWoman @MKshake_ @Richard_Stands @EvenBrokerRoca… https://t.co/QiCCu2aH70
179,RT @EricBlake12: Very happy that #Lorenzo is turning out to sea- that is a beastly hurricane. You won’t find anything comparable in that pa…
180,"RT @SenSanders: Two years ago, Hurricane María—fueled by climate change—devastated Puerto Rico and the U.S. Virgin Islands.
 
Our message f…"
181,Baby I Hold my money till the bill due😂😂 just Incase a hurricane or something hit Kmsl especially my rent not payin… https://t.co/nbNJvHPCIc
182,"@RadiKWX Well, remember, H-town doesn't necessarily have to be in the eyepath of a particular storm.  Hurricane Ale… https://t.co/67U1uUOzTw"
183,"RT @CC_StormWatch: #Lorenzo this evening. Very impressive storm still intensifying.

Note: Until about 50 years ago, even an intense hurric…"
184,RT @MJVentrice: I'd say Major Hurricane #Lorenzo has gotten its act together  today. This is a monster of a hurricane. https://t.co/HyLHyg1…
185,"【定期】プロフ@ https://t.co/RwnZyx6W4H
ブログ@ https://t.co/4Pzt61sxVE
インスタ@ maki_shirota
公式LINE@ https://t.co/EaY0lzVWOB"
186,"Just thinking aloud here, @JarrydSmith  - this vote for @KirstyBisset - that vote is the power of love, right? Also… https://t.co/GqFYfnOyC6"
187,"RT @EricHolthaus: Right now, Hurricane Lorenzo is churning through the open Waters of the central Atlantic -- the strongest storm ever obse…"
188,"Florida City Faces $200M in Repairs to Sewage, Water Line After Hurricane Michael https://t.co/aG7MsuRgVo https://t.co/OVIiplEBym"
189,pogi ka? DI KA NA HANGIN MEN! HURRICANE KA NA!
190,@Loki_1399 @Chickory19 @ginaC777 @AnonymousEagle4 @TweetsMinister @squirrelpigeon @fringepatriot @pigeonberry1836… https://t.co/mij8mUDcvE
191,@ginaC777 @Chickory19 @AnonymousEagle4 @TweetsMinister @fwbla @squirrelpigeon @fringepatriot @Loki_1399… https://t.co/FDtcTGWc0z
192,"RT @weatherchannel: #Lorenzo is a Cat. 4 #hurricane. That's impressive enough. Where it became a Cat. 4, though, is very rare. https://t.co…"
193,"RT @musicbytvboo: TVBOO TVLKS: Hurricane Names 
Time to listen up daddy 🤠 https://t.co/c00MkHWNOF"
194,"RT @1900hurricane: Hurricane #Lorenzo is creeping closer to that Data T of 7.0, a number often associated with tropical cyclones near or at…"
195,"RT @annamaria_84: Almost a month after #Dorian hurricane, destruction appears dramatic clear at Grand Bahama Island, Bahamas￼ 🇧🇸. Images ac…"
196,ดีมากเร้ยยยยยยยยย https://t.co/LVCJ15vnpK
197,7-Year-Old Surprised With Free Trip to Disney World After Giving Up His Savings to Feed Hurricane Dorian Evacuees… https://t.co/KeD3xLR5hg
198,"Ain't worryin 'bout Donald Trump
Ain't worryin 'bout seeing no monuments
These people got weather control
Where the… https://t.co/yi92eKWlXG"
199,"RT @annamaria_84: Almost a month after #Dorian hurricane, destruction appears dramatic clear at #GrandBahamaIsland, #Bahamas 🇧🇸. Images acq…"
200,🌀 Hurricane Irma as seen from the international space station  https://t.co/kdBPYU1f5d
201,@NCTsmtown_127 https://t.co/GYCqvJHyek
202,I’m so sad 🔪💔
203,"RT @NCTsmtown_127: 제 새로운 애장품을 소개할게요 #내애기

👉 https://t.co/pNjjXjDA4B

#NCT #NCT127
#JAEHYUN #일상의재현 https://t.co/zhM7iMT4oh"
204,วิถีเนตไอดอน https://t.co/buUzp1a9sw
205,RT @Kiwanis: Members of the Kiwanis Young Professionals Club of New York City have spent more than six years rebuilding homes in New York ……
206,@_SJPeace_ Ah so that’s who they named the hurricane after
207,"RT @BaddCompani: shall work Corruption of BLOOD, Forfeiture except during the Life of the Person Attained.
Article 1 Sec 2 puts Congress in…"
208,"One structure, two solutions to #ClimateChange issues: excess waste &amp; extreme weather
This #HurricaneProof #home in… https://t.co/Th41rY42af"
209,Drone finds animals stranded in the Bahamas after Hurricane Dorian https://t.co/6vP5UmdYKJ via @nbcnews
210,@texas_hurricane @1GaryBernstein @Megan4MAGA @carrerapulse @USAloveGOD @MagaMammy @sh_irredeemable @petluvers4Trump… https://t.co/bpul9Ib3Xp
211,"RT @JointCyclone: #HurricaneLorenzo Advisory 16
Max Winds: 130mph
Strength: C4
MSLP: 947mb
#Lorenzo intensified to strengthen into a Catego…"
