category;tweet_id;text;date;retweet_count
groundwater contamination;1.14E+18;KDHE: Study shows no link between decades of Haysville groundwater contamination, increase in cancer cases https://t.co/BVEHGwFHch https://t.co/xKipP9PMsh;6/19/2019 4:02;0
groundwater contamination;1.14E+18;New Report Reveals Severe Groundwater Contamination at Illinois Coal Ash Dumps https://t.co/zFcRzr5OVF via *@earthjustice;6/18/2019 20:46;0
groundwater contamination;1.14E+18;.*@3M may not believe it's responsible for #PFAS contamination of New Jersey's groundwater and other natural resources, but *@NewJerseyOAG would beg to differ. Over the past few months, AG Grewal's office has brought multiple lawsuits to hold 3M and other companies accountable. https://t.co/TZbZn48xKZ;6/18/2019 20:14;0
groundwater contamination;1.14E+18;*@MayorofLondon materials used in *batteries are harmful to the environment*. The mining and processing of metals such as lithium, copper, and nickel requires much energy &amp  can release toxic compounds. population maybe exposed to toxic substances through air and groundwater contamination. https://t.co/dnhvFZ67lm;6/18/2019 16:27;0
groundwater contamination;1.14E+18;"I won a “gold digger” award for a story I wrote on PFAS contamination, which is funny because I nominated myself for poisoning my (first) husband. 

Link: https://t.co/LBHTy9aK14 https://t.co/cYMhhZZaKL";6/18/2019 15:16;2
groundwater contamination;1.14E+18;"*@berthacoombs *@jimcramer *@MichaelPollin It's funny my environmentalist meat eating friends worry about glyphosates, groundwater contamination, etc for all of the vegan items produces....maybe the problem today isn't meat vs. vegan but the way ""conventional farming"" is done.";6/18/2019 15:05;0
groundwater contamination;1.14E+18;"How would you like our data on contaminated groundwater be presented in our new groundwater mapping tool?  We want to hear from you. #LCCMR #ENRTF

https://t.co/f5kvAA5B9C";6/18/2019 14:40;1
groundwater contamination;1.14E+18;*@physorg_com *@RiceUniversity *@PNASNews No mention how to safely dispose of the “contaminants” once removed from seawater. These salts must be sequestered  can’t dump it in the ocean  burying risks groundwater contamination  etc. Probably THE problem with desalination.;6/18/2019 13:43;0
groundwater contamination;1.14E+18;*@EnergyCredit1 Agree, cancer (especially in children) is an absolute travesty.... but highly, highly unlikely it is related to groundwater contamination from well completions.;6/18/2019 13:42;0
groundwater contamination;1.14E+18;"*@DrHCaldicott ""radioactive reactor cores have been in direct contact with groundwater for the last eight years, and then that highly toxic radioactive water enters the Pacific Ocean. When the disaster struck TEPCO wanted to build an ice-wall to prevent the spread of the contamination...😺 https://t.co/4ZA06qRUIl";6/18/2019 11:49;2
